29.997	4.1677e-08 unit micron
29.987	4.1703e-08
29.977	4.1731e-08
29.967	4.1756e-08
29.957	4.1782e-08
29.947	4.1808e-08
29.937	4.1833e-08
29.927	4.1859e-08
29.917	4.1885e-08
29.907	4.1911e-08
29.897	4.1936e-08
29.887	4.1962e-08
29.877	4.1988e-08
29.867	4.2014e-08
29.857	4.2039e-08
29.847	4.2065e-08
29.837	4.2093e-08
29.827	4.2119e-08
29.817	4.2145e-08
29.807	4.2171e-08
29.798	4.2197e-08
29.788	4.2223e-08
29.778	4.2249e-08
29.768	4.2275e-08
29.758	4.2301e-08
29.748	4.2327e-08
29.738	4.2353e-08
29.728	4.2379e-08
29.718	4.2405e-08
29.708	4.2431e-08
29.698	4.2459e-08
29.688	4.2485e-08
29.678	4.2511e-08
29.669	4.2537e-08
29.659	4.2564e-08
29.649	4.259e-08
29.639	4.2616e-08
29.629	4.2642e-08
29.619	4.2668e-08
29.609	4.2694e-08
29.599	4.2721e-08
29.59	4.2747e-08
29.58	4.2773e-08
29.57	4.2799e-08
29.56	4.2826e-08
29.55	4.2854e-08
29.54	4.2881e-08
29.53	4.2907e-08
29.52	4.2933e-08
29.511	4.296e-08
29.501	4.2986e-08
29.491	4.3013e-08
29.481	4.3039e-08
29.471	4.3065e-08
29.461	4.3092e-08
29.452	4.3118e-08
29.442	4.3145e-08
29.432	4.3171e-08
29.422	4.3198e-08
29.412	4.3224e-08
29.403	4.3251e-08
29.393	4.3277e-08
29.383	4.3306e-08
29.373	4.3333e-08
29.363	4.336e-08
29.354	4.3386e-08
29.344	4.3413e-08
29.334	4.344e-08
29.324	4.3466e-08
29.314	4.3493e-08
29.305	4.352e-08
29.295	4.3546e-08
29.285	4.3573e-08
29.275	4.36e-08
29.266	4.3627e-08
29.256	4.3653e-08
29.246	4.368e-08
29.236	4.3707e-08
29.227	4.3734e-08
29.217	4.3761e-08
29.207	4.3788e-08
29.197	4.3815e-08
29.188	4.3841e-08
29.178	4.3868e-08
29.168	4.3895e-08
29.158	4.3922e-08
29.149	4.3949e-08
29.139	4.3974e-08
29.129	4.4001e-08
29.119	4.4028e-08
29.11	4.4055e-08
29.1	4.4082e-08
29.09	4.4109e-08
29.081	4.4136e-08
29.071	4.4163e-08
29.061	4.4188e-08
29.052	4.4215e-08
29.042	4.4242e-08
29.032	4.427e-08
29.023	4.4297e-08
29.013	4.4322e-08
29.003	4.4349e-08
28.993	4.4376e-08
28.984	4.4403e-08
28.974	4.4431e-08
28.964	4.4455e-08
28.955	4.4483e-08
28.945	4.451e-08
28.936	4.4537e-08
28.926	4.4565e-08
28.916	4.459e-08
28.907	4.4617e-08
28.897	4.4645e-08
28.887	4.4672e-08
28.878	4.4697e-08
28.868	4.4724e-08
28.858	4.4752e-08
28.849	4.4779e-08
28.839	4.4805e-08
28.83	4.4832e-08
28.82	4.486e-08
28.81	4.4887e-08
28.801	4.4915e-08
28.791	4.494e-08
28.781	4.4967e-08
28.772	4.4995e-08
28.762	4.5023e-08
28.753	4.5048e-08
28.743	4.5076e-08
28.734	4.5103e-08
28.724	4.5131e-08
28.714	4.5156e-08
28.705	4.5184e-08
28.695	4.5212e-08
28.686	4.524e-08
