#Cont  nu	incident	trans	DiffOut	net trans	reflc	total	reflin	outlin	lineID	cont	nLine
2.99293e+07	0.000e+00	0.000e+00	0.000e+00	0.000e+00	6.545e+09	6.545e+09	0.000e+00	0.000e+00	    	    	0.00
2.98297e+07	0.000e+00	0.000e+00	6.264e+24	6.264e+24	6.610e+09	6.264e+24	0.000e+00	0.000e+00	    	    	0.00
2.97304e+07	0.000e+00	0.000e+00	6.298e+24	6.298e+24	6.677e+09	6.298e+24	0.000e+00	0.000e+00	    	    	0.00
2.96315e+07	0.000e+00	0.000e+00	6.333e+24	6.333e+24	6.744e+09	6.333e+24	0.000e+00	0.000e+00	    	    	0.00
2.95329e+07	0.000e+00	0.000e+00	6.367e+24	6.367e+24	6.812e+09	6.367e+24	0.000e+00	0.000e+00	    	    	0.00
2.94347e+07	0.000e+00	0.000e+00	6.402e+24	6.402e+24	6.880e+09	6.402e+24	0.000e+00	0.000e+00	    	    	0.00
2.93367e+07	0.000e+00	0.000e+00	6.438e+24	6.438e+24	6.949e+09	6.438e+24	0.000e+00	0.000e+00	    	    	0.00
2.92391e+07	0.000e+00	0.000e+00	6.473e+24	6.473e+24	7.019e+09	6.473e+24	0.000e+00	0.000e+00	    	    	0.00
2.91418e+07	0.000e+00	0.000e+00	6.509e+24	6.509e+24	7.090e+09	6.509e+24	0.000e+00	0.000e+00	    	    	0.00
2.90448e+07	0.000e+00	0.000e+00	6.544e+24	6.544e+24	7.161e+09	6.544e+24	0.000e+00	0.000e+00	    	    	0.00
2.89482e+07	0.000e+00	0.000e+00	6.580e+24	6.580e+24	7.233e+09	6.580e+24	0.000e+00	0.000e+00	    	    	0.00
2.88519e+07	0.000e+00	0.000e+00	6.616e+24	6.616e+24	7.305e+09	6.616e+24	0.000e+00	0.000e+00	    	    	0.00
2.87559e+07	0.000e+00	0.000e+00	6.653e+24	6.653e+24	7.379e+09	6.653e+24	0.000e+00	0.000e+00	    	    	0.00
2.86602e+07	0.000e+00	0.000e+00	6.689e+24	6.689e+24	7.453e+09	6.689e+24	0.000e+00	0.000e+00	    	    	0.00
2.85648e+07	0.000e+00	0.000e+00	6.726e+24	6.726e+24	7.528e+09	6.726e+24	0.000e+00	0.000e+00	    	    	0.00
2.84698e+07	0.000e+00	0.000e+00	6.763e+24	6.763e+24	7.604e+09	6.763e+24	0.000e+00	0.000e+00	    	    	0.00
2.83750e+07	0.000e+00	0.000e+00	6.800e+24	6.800e+24	7.680e+09	6.800e+24	0.000e+00	0.000e+00	    	    	0.00
2.82806e+07	0.000e+00	0.000e+00	6.837e+24	6.837e+24	7.757e+09	6.837e+24	0.000e+00	0.000e+00	    	    	0.00
2.81865e+07	0.000e+00	0.000e+00	6.875e+24	6.875e+24	7.835e+09	6.875e+24	0.000e+00	0.000e+00	    	    	0.00
2.80927e+07	0.000e+00	0.000e+00	6.913e+24	6.913e+24	7.914e+09	6.913e+24	0.000e+00	0.000e+00	    	    	0.00
2.79993e+07	0.000e+00	0.000e+00	6.951e+24	6.951e+24	7.993e+09	6.951e+24	0.000e+00	0.000e+00	    	    	0.00
2.79061e+07	0.000e+00	0.000e+00	6.989e+24	6.989e+24	8.074e+09	6.989e+24	0.000e+00	0.000e+00	    	    	0.00
